Blank OD is 14.6332
Time OD Volume Z Media ODpost
29282.38 0.5000 0.5224 700.6946 633.4889 1.0 0.5064
29396.66 0.5000 0.5165 683.7076 634.3121 1.0 0.5087
29510.94 0.5000 0.5206 697.0070 635.3399 1.0 0.5022
29625.21 0.5000 0.5190 693.3558 636.2910 1.0 0.5024
29739.49 0.5000 0.5145 680.6258 637.0178 1.0 0.5113
29853.77 0.5000 0.5138 679.0057 637.7061 1.0 0.5054
29968.04 0.5000 0.5224 705.9337 638.8246 1.0 0.5045
30082.32 0.5000 0.5200 699.7082 639.8227 1.0 0.5038
30196.54 0.5000 0.5208 703.2502 640.8625 1.0 0.5129
30310.83 0.5000 0.5195 700.3328 641.8374 1.0 0.5165
30425.05 0.5000 0.5278 726.6675 643.2281 1.0 0.5020
30539.37 0.5000 0.5161 692.4291 644.0347 1.0 0.5309
30653.58 0.5000 0.5170 696.0084 644.8867 1.0 0.5008
30767.81 0.5000 0.5224 713.2224 646.0069 1.0 0.4971
30882.04 0.5000 0.5175 699.4143 646.8825 1.0 0.4986
30996.32 0.5000 0.5112 681.1184 647.4437 1.0 0.4994
31110.64 0.5000 0.5193 706.2939 648.4085 1.0 0.5032
31224.92 0.5000 0.5099 678.5160 648.9020 1.0 0.5018
31339.19 0.5000 0.5113 683.4821 649.4689 1.0 0.4995
31453.46 0.5000 0.5134 690.3089 650.1384 1.0 0.4936
31567.78 0.5000 0.5105 682.3043 650.6657 1.0 0.5052
31682.01 0.5000 0.5179 705.2562 651.5607 1.0 0.4919
31796.27 0.5000 0.5071 673.1919 651.9153 1.0 0.5323
31910.53 0.5000 0.5097 681.3750 652.3982 1.0 0.5034
32024.81 0.5000 0.5119 688.6728 652.9929 1.0 0.4937
32139.04 0.5000 0.5170 704.8389 653.8428 1.0 0.5044
32253.24 0.5000 0.5069 674.9735 654.1892 1.0 0.4854
32367.51 0.5000 0.5025 661.9219 654.3160 1.0 0.5284
32481.76 0.5000 0.5100 684.7309 654.8146 1.0 0.4855
32596.00 0.5000 0.5040 667.1416 655.0167 1.0 0.4921
32710.26 0.5000 0.5050 670.1311 655.2645 1.0 0.5018
32824.44 0.5000 0.5020 661.4508 655.3659 1.0 0.4971
32938.70 0.5000 0.5054 671.7447 655.6344 1.0 0.5366
33052.99 0.5000 0.5171 707.7570 656.4888 1.0 0.5066
33167.27 0.5000 0.5103 687.9974 657.0054 1.0 0.4923
33281.44 0.5000 0.5021 663.4235 657.1106 1.0 0.4938
33395.77 0.5000 0.5113 691.6076 657.6761 1.0 0.4877
33510.04 0.5000 0.5056 674.6173 657.9538 1.0 0.4962
33624.32 0.5000 0.5086 684.1569 658.3834 1.0 0.5006
33738.59 0.5000 0.5108 691.4328 658.9252 1.0 0.4949
33852.86 0.5000 0.5149 704.3696 659.6702 1.0 0.5275
33967.18 0.5000 0.5162 709.1296 660.4810 1.0 0.4969
34081.45 0.5000 0.5116 695.9488 661.0624 1.0 0.5057
34195.72 0.5000 0.5119 697.4177 661.6584 1.0 0.5253
34310.05 0.5000 0.5250 737.8721 662.9078 1.0 0.5071
34424.36 0.5000 0.5253 739.9769 664.1713 1.0 0.5040
34538.64 0.5000 0.5185 720.4892 665.0945 1.0 0.4968
34652.92 0.5000 0.5201 726.3619 666.0989 1.0 0.4970
34767.19 0.5000 0.5117 701.8481 666.6849 1.0 0.5099
34881.50 0.5000 0.5115 701.6905 667.2588 1.0 0.4937
34995.77 0.5000 0.5053 683.5135 667.5253 1.0 0.4831
35110.04 0.5000 0.4983 662.4322 667.4418 1.0 0.4860
35224.32 0.5000 0.5010 670.3599 667.4896 1.0 0.4890
